t,x,y,psi,vy,r,delta_sfa,delta_drv_rwa,sfa_cmd,delta_cmd,real_h,perceived_x,perceived_y,perceived_h,dx_delayed,hazard,lane_term,obstacle_term,burst_mult,raw_cmd,lpf_cmd
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,99.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0
0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0625,0.0,0.0,99.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0
0.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.25,0.0,0.0,99.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0
0.15000000000000002,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.5625,0.0,0.0,99.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0
0.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,99.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0
0.25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.5625,0.0,0.0,99.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0
0.3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.25,1.0,0.0,94.0625,39.0,0.0,0.0,0.0,1.0,0.0,0.0
0.35,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0625,2.0,0.0,89.25,38.0,0.0,0.0,0.0,1.0,0.0,0.0
0.39999999999999997,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,3.0,0.0,84.5625,37.0,0.0,0.0,0.0,1.0,0.0,0.0
0.44999999999999996,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0625,4.0,0.0,80.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0
0.49999999999999994,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.25,5.0,0.0,75.5625,35.0,0.0,0.0,0.0,1.0,0.0,0.0
0.5499999999999999,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.5625,6.0,0.0,71.25,34.0,0.0,0.0,0.0,1.0,0.0,0.0
0.6,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,7.0,0.0,67.0625,33.0,0.0,0.0,0.0,1.0,0.0,0.0
0.65,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.5625,8.0,0.0,63.0,32.0,0.0,0.0,0.0,1.0,0.0,0.0
0.7000000000000001,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.25,9.0,0.0,59.0625,31.0,0.0,0.0,0.0,1.0,0.0,0.0
0.7500000000000001,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0625,10.0,0.0,55.25,30.0,0.0,0.0,0.0,1.0,0.0,0.0
0.8000000000000002,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,11.0,0.0,51.5625,29.0,0.033333333333333326,0.0,0.0037393162393162386,1.0,0.0037393162393162386,0.0015580484330484329
0.8500000000000002,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0625,12.0,0.0,48.0,28.0,0.06666666666666665,0.0,0.015350877192982452,1.0,0.015350877192982452,0.007305060416354274
0.9000000000000002,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.25,13.0,0.0,44.5625,27.0,0.09999999999999998,0.0,0.035472972972972965,1.0,0.035472972972972965,0.01904169064827873
0.9500000000000003,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015580484330484329,0.0,26.5625,14.0,0.0,41.25,26.0,0.1333333333333333,0.0,0.0648148148148148,1.0,0.0648148148148148,0.03811382571766876
1.0000000000000002,20.0,0.0,0.0,0.0,0.0,0.0004327912314023425,2.8852748760156166e-05,0.007305060416354274,2.8852748760156166e-05,24.0,15.0,0.0,38.0625,25.0,0.16666666666666663,0.0,0.10416666666666664,1.0,0.10416666666666664,0.06563584277975121
1.0500000000000003,21.0,0.0,0.0,6.0109893250325354e-05,4.808791460026029e-05,0.0023417548938889903,0.0001561169929259327,0.01904169064827873,0.0001561169929259327,21.5625,16.0,0.0,35.0,24.0,0.19999999999999996,0.0,0.15441176470588233,1.0,0.15441176470588233,0.10262581024897251
1.1000000000000003,22.0,3.005494662516268e-06,2.4043957300130144e-06,0.0003463322894776823,0.0003082652705747947,0.006980625936775029,0.0004653750624516686,0.03811382571766876,0.0004653750624516686,19.250000000003126,17.0,0.0,32.0625,23.0,0.23333333333333328,0.0,0.21654040404040398,1.0,0.21654040404040398,0.15009022432873562
1.1500000000000004,22.999999999955474,2.272650486636103e-05,1.781765925875275e-05,0.0010718404376961446,0.0010690186501331228,0.01562873698702329,0.0010419157991348861,0.06563584277975121,0.0010419157991348861,17.06250000027334,18.0,0.0,29.25,22.0,0.2666666666666667,0.0,0.29166666666666674,1.0,0.29166666666666674,0.20908040863620692
1.2000000000000004,23.999999998841854,9.413618600047135e-05,7.12685917654089e-05,0.002424186182251424,0.0027112003769987052,0.029519599707225494,0.001967973313815033,0.10262581024897251,0.001967973313815033,15.000000005382596,19.0,0.0,26.5625,21.0,0.30000000000000004,0.0,0.3810483870967743,1.0,0.3810483870967743,0.28073373299477666
1.2500000000000004,24.99999998766383,0.0002866140865102962,0.00020682861061534417,0.004527391634842139,0.00566652514201357,0.04982688041326633,0.0033217920275510886,0.15009022432873562,0.0033217920275510886,13.062500051555105,20.0,0.0,24.0,20.0,0.33333333333333337,0.0,0.4861111111111111,1.0,0.4861111111111111,0.3663076405432494
1.3000000000000005,25.99999991945509,0.0007198122725512984,0.0004901548677160226,0.007439979491152664,0.010384931483692284,0.07767780927867446,0.005178520618578297,0.20908040863620692,0.005178520618578297,11.25000032023723,21.0,0.0,21.5625,19.0,0.3666666666666667,0.0,0.6084770114942529,1.0,0.6084770114942529,0.4672115451061675
1.3500000000000005,26.999999616992092,0.0015819660505114804,0.0010094014419006368,0.011172516567326644,0.017315947520065825,0.11417853132243347,0.007611902088162231,0.28073373299477666,0.007611902088162231,9.562501488345156,22.0,3.005494662516268e-06,19.250000000003126,18.0,0.4,-5.019176086402168e-06,0.7499971823593393,1.0,0.7499921631832529,0.5850368026382864
1.4000000000000006,27.99999854366888,0.0031499928647772723,0.001875198817903928,0.015709775725852977,0.026902243010196756,0.1604438651203066,0.010696257674687105,0.3663076405432494,0.010696257674687105,8.000005617872262,22.999999999955474,2.272650486636103e-05,17.06250000027334,17.000000000044526,0.4333333333318491,-3.744430063875242e-05,0.9127827115166313,1.0,0.9127452672159925,0.7215819962123305
1.4500000000000006,28.99999531253731,0.005810677988957273,0.003220310968413766,0.021029511957702307,0.03958152113009782,0.21762824718223514,0.014508549812149009,0.4672115451061675,0.014508549812149009,6.562518128300179,23.999999998841854,9.413618600047135e-05,15.000000005382596,16.000000001158146,0.4666666666280618,-0.0001515509307718317,1.099229627522274,1.0,1.099078076591502,0.878872029703652
1.5000000000000007,29.99998674126788,0.0100824535371641,0.005199387024918657,0.0271154990418687,0.05579331742135875,0.28695694104999414,0.019130462736666277,0.5850368026382864,0.019130462736666277,5.2500517484674285,24.99999998766383,0.0002866140865102962,13.062500051555105,15.00000001233617,0.4999999995887944,-0.0004471978024421447,1.3120299393653398,1.0,1.3115827415628978,1.0591681596450044
1.5500000000000007,30.99996617531868,0.016637573762112806,0.007989052895986594,0.03396545332436091,0.07598840673197589,0.36975690260229754,0.024650460173486502,0.7215819962123305,0.024650460173486502,4.062633834450688,25.99999991945509,0.0007198122725512984,11.25000032023723,14.000000080544911,0.533333330648503,-0.001082113564705646,1.5541571579288536,1.8,2.796400770707231,1.7830150809209324
1.6000000000000008,31.99992069555949,0.026324760145274025,0.01178847323258539,0.04159532305243621,0.10063947303647519,0.46748609527175117,0.031165739684783412,0.878872029703652,0.031165739684783412,3.0003190947978444,26.999999616992092,0.0015819660505114804,9.562501488345156,13.000000383007908,0.5666666538997365,-0.0022832433464422056,1.8288110269518227,1.8,3.2895766051668387,2.4107490493567267
1.6500000000000008,32.999826695613805,0.0401925819865186,0.01682044688440915,0.05004116328046607,0.1302522101304127,0.5817599659472792,0.038783997729818616,1.0591681596450044,0.038783997729818616,2.0632106202554663,27.99999854366888,0.0031499928647772723,8.000005617872262,12.00000145633112,0.5999999514556293,-0.0043577744206929996,2.1393032953758997,1.8,3.8463881572559266,3.0089320109813933
1.7000000000000008,33.99964315148046,0.059513939943091586,0.023333057390929786,0.05935933809758436,0.16537623782791397,0.7143733530855362,0.04762489020570241,1.7830150809209324,0.04762489020570241,1.2514932184133536,28.99999531253731,0.005810677988957273,6.562518128300179,11.000004687462688,0.633333177084577,-0.0077043082497057725,2.488865155424186,1.8,4.472252971513829,3.618649077869908
1.7500000000000009,34.99930170258838,0.08581203919691748,0.03160186928232549,0.06962537087960351,0.2066152437258766,1.0112182774842573,0.06741455183228381,2.4107490493567267,0.06741455183228381,0.5654844615387882,29.99998674126788,0.0100824535371641,5.2500517484674285,10.000013258732121,0.6666662247089292,-0.012824491280326375,2.880359502409771,1.8,5.1718226130572615,4.265804717531305
1.800000000000001,35.998692408789665,0.12088817908111682,0.04193263146861932,0.10091795328208686,0.27062486315323,1.39997682522661,0.09333178834844066,3.0089320109813933,0.09333178834844066,0.005710633208360738,30.99996617531868,0.016637573762112806,4.062633834450688,9.00003382468132,0.6999988725106226,-0.020335339623543273,3.315891014506448,1.8,5.948268486488064,4.9668312879299545
